0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.421155;OtherSpecimen;;Petrology;;Zimbabwe;;;;;;;Zwaan J.C.;;;;;;PROFILE LZ 5704 (N-S, +35°);https://data.biodiversitydata.nl/naturalis/specimen/RGM.421155;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.318041.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.318041.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1913.IX;volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.27288.0;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.27288.0;;;not applicable;CROMMELINR.D.;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1290279;OtherSpecimen;;Petrology;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1290279;;;not applicable;BERG  R.;;;;;;;;;;;;;;;1976;;;;1976-01-01/1976-12-31;ICZN;WGS84
RGM.208513.0;OtherSpecimen;;Petrology;;SWITZERLAND;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.208513.0;;;not applicable;ROLLEF.;metamorphic rocks suspected of igneous origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.272794.464;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.272794.464;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.319435.0;OtherSpecimen;;Petrology;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.319435.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1913;hypabyssal rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.141876.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.141876.0;;;not applicable;MOLENGRAAFFG.A.F. 23.10.1894;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1297038;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1297038;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1023707;OtherSpecimen;;Petrology;;FRANCE;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1023707;;;not applicable;BRONDIJK J.F.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1020208;OtherSpecimen;;Petrology;;PORTUGAL;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1020208;;;not applicable;OEN ING SOEN;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.854635;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Over Eijs;https://data.biodiversitydata.nl/naturalis/specimen/RGM.854635;;;not applicable;Corresp. Maastricht;;;;;Limburg;;;;;;;;;;06 sept 1852;;;;1852-09-06;ICZN;WGS84
RGM.853556;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Haulerpolder draaibrug naar Veenhuizen;https://data.biodiversitydata.nl/naturalis/specimen/RGM.853556;;;not applicable;S;;;;;;;;;;;;;;;24 jun 1859;;;;1859-06-24;ICZN;WGS84
RGM.279280;OtherSpecimen;;Petrology;;SWEDEN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.279280;;;not applicable;MEERTEN T.G. VAN;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1334458;OtherSpecimen;;Petrology;;Cuba;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1334458;;;not applicable;;;;;;Camaguey;;;;;;;;;;1933;;;;1933-01-01/1933-12-31;ICZN;WGS84
RGM.308613.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.308613.0;;;not applicable;MUELLERS. 1836 REIZEN EN ONDERZOEKINGEN IN DEN INDISCHEN ARCHIPELGEDAAN OP LAST DER NEDERLANDSCHE INDISCHE REGERINGTUSSEN DE JAREN 1828 EN 1836.EERSTE DEEL1857.;siliciclastics;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.90143;OtherSpecimen;;Petrology;;;;;;;;;;;;;;;RHENEN, HEUVELRUG, UTRECHT;https://data.biodiversitydata.nl/naturalis/specimen/RGM.90143;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1291550;OtherSpecimen;;Petrology;;GUINEA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1291550;;;not applicable;LACROIXA. 1928;hypabyssal rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.859886;OtherSpecimen;;Petrology;;Unknown;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.859886;;;not applicable;Staring;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.326961.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.326961.0;;;not applicable;FORSTENE.A.;volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.137553.0;OtherSpecimen;;Petrology;;CANADA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.137553.0;;;not applicable;VOSM.A.;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.80596.0;OtherSpecimen;;Petrology;;FRANCE;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.80596.0;;;not applicable;VALKC. 1955.FIELDNR.183;metamorphic rocks suspected of igneous origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.128544;OtherSpecimen;;Petrology;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.128544;;;not applicable;MUSEUMSTAF 1971;metamorphic rocks of sedimentary origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.327914.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.327914.0;;;not applicable;VAN SCHELLEC.J.;volcanic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1198524;OtherSpecimen;;Petrology;;Germany;;;;;;;;;;;;;Harz;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1198524;;;thin section;;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1198524/format/large;;;;;;;ICZN;WGS84
RGM.861555;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Amsterdam;https://data.biodiversitydata.nl/naturalis/specimen/RGM.861555;;;not applicable;Staring;;;;;North Holland;;;;;86,65;;;;;;;;;;ICZN;WGS84
