0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.1043805;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1043805;;;not applicable;;Piemontiet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1048019;OtherSpecimen;;Mineralogy;;Norway;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1048019;;;not applicable;;Rhombenporfier;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1324259;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Mayen-Koblenz, Andernach, Nickenicher Sattelberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1324259;;;not applicable;Kijlstra E.;Hematite 4.CB.05;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.366015;OtherSpecimen;;Mineralogy;;SPAIN;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.366015;;;not applicable;;;;;;GALICIA;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1324653;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;Eifel, District Mayen-Koblenz, Mayen, Bellerberg;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1324653;;;not applicable;Marsman H.;Pyroxene;;;;Rhineland Palatinate;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.151457;OtherSpecimen;;Mineralogy;;GERMANY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.151457;;;not applicable;;BERYL, EMERALD 'IGMERALD';;;;Saxony-Anhalt;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.151822;OtherSpecimen;;Mineralogy;;Unknown;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.151822;;;not applicable;;Diamond 1.CB.10a;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1053806;OtherSpecimen;;Mineralogy;;;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1053806;;;not applicable;;Tuf;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1050781;OtherSpecimen;;Mineralogy;;Czechoslovakia;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1050781;;;not applicable;;Grossulaar;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1054052;OtherSpecimen;;Mineralogy;;Turkey;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1054052;;;not applicable;;Vuuropaal;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1057853;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1057853;;;not applicable;;Chrysokol;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1047884;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1047884;;;not applicable;;Scheeliet;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1067947;OtherSpecimen;;Mineralogy;;Turkey;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1067947;;;not applicable;;Zwavel;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1066858;OtherSpecimen;;Mineralogy;;United States;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1066858;;;not applicable;;Versteend Hout;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.25745;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.25745;;;not applicable;;CALCITE;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1070413;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1070413;;;not applicable;;Agaat;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1033305;OtherSpecimen;;Mineralogy;;Germany;;;;;;;;;;;;;FREIBERG;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1033305;;;not applicable;;FLUORITE;;;;Saxony;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1340252;OtherSpecimen;;Mineralogy;;New Caledonia;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1340252;;;not applicable;;Pecoraite 9.ED.15;;;;;;genus;;;;;genus;;;;;;;;ICZN;WGS84
RGM.1056102;OtherSpecimen;;Mineralogy;;Russia;;;;;;;;;;;;;Bankowsk;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1056102;;;not applicable;;Copper 1.AA.05;;;;Siberië;;genus;;;;;genus;;;;;;;;ICZN;WGS84
